season;race_num;race_name;race_date;driver;car;team;team_group;rank;grid;laps;retired;ptsl
1;2;2014 Putrajaya;22/11/2014;Daniel Abt;66;Audi Sport ABT;AUDI;10;3;31;0;1,0,0
1;2;2014 Putrajaya;22/11/2014;Ho-Pin Tung;88;China Racing;NIO_NEXTEV;11;15;31;0;0,0,0
1;2;2014 Putrajaya;22/11/2014;Stephane Sarrazin;30;Venturi;VENTURI;12;12;31;0;0,0,0
1;2;2014 Putrajaya;22/11/2014;Matthew Brabham;28;Andretti;BMW_ANDRETTI;13;9;31;0;0,0,0
1;2;2014 Putrajaya;22/11/2014;Bruno Senna;21;Mahindra Racing;MAHINDRA;14;8;31;0;0,0,0
1;2;2014 Putrajaya;22/11/2014;Katherine Legge;77;Amlin Aguri;TECHEETAH;15;16;31;0;0,0,0
1;2;2014 Putrajaya;22/11/2014;Jarno Trulli;10;Trulli;TRULLI;16;4;31;0;0,0,0
1;2;2014 Putrajaya;22/11/2014;Franck Montagny;27;Andretti;BMW_ANDRETTI;99;13;31;1;0,0,0
1;2;2014 Putrajaya;22/11/2014;Michela Cerruti;18;Trulli;TRULLI;99;14;31;1;0,0,0
1;2;2014 Putrajaya;22/11/2014;Nelson Piquet Jr.;99;China Racing;NIO_NEXTEV;99;7;31;1;0,0,0
1;2;2014 Putrajaya;22/11/2014;Nick Heidfeld;23;Venturi;VENTURI;99;8;31;1;0,0,0
1;3;2014 Punta del Este;13/12/2014;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;1;4;31;0;25,0,0
1;3;2014 Punta del Este;13/12/2014;Nelson Piquet Jr.;99;China Racing;NIO_NEXTEV;2;2;31;0;18,0,0
1;3;2014 Punta del Este;13/12/2014;Lucas di Grassi;11;Audi Sport ABT;AUDI;3;6;31;0;15,0,0
1;3;2014 Punta del Este;13/12/2014;Jarno Trulli;10;Trulli;TRULLI;4;7;31;0;12,0,0
1;3;2014 Punta del Este;13/12/2014;Jaime Alguersuari;3;Virgin Racing;VIRGIN;5;5;31;0;10,0,0
1;3;2014 Punta del Este;13/12/2014;Bruno Senna;21;Mahindra Racing;MAHINDRA;6;20;31;0;8,0,0
1;3;2014 Punta del Este;13/12/2014;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;7;3;31;0;6,0,0
1;3;2014 Punta del Este;13/12/2014;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;8;17;31;0;4,0,0
1;3;2014 Punta del Este;13/12/2014;Oriol Servià;6;Dragon Racing;DRAGON;9;11;31;0;2,0,0
1;3;2014 Punta del Este;13/12/2014;Nick Heidfeld;23;Venturi;VENTURI;10;8;31;0;1,0,0
1;3;2014 Punta del Este;13/12/2014;Antonio Garcia;88;China Racing;NIO_NEXTEV;11;14;31;0;0,0,0
1;3;2014 Punta del Este;13/12/2014;Michela Cerruti;18;Trulli;TRULLI;12;16;31;0;0,0,0
1;3;2014 Punta del Este;13/12/2014;Karun Chandhok;5;Mahindra Racing;MAHINDRA;13;10;31;0;0,0,0
1;3;2014 Punta del Este;13/12/2014;Jean-Éric Vergne;27;Andretti;BMW_ANDRETTI;14;1;31;0;0,3,0
1;3;2014 Punta del Este;13/12/2014;Daniel Abt;66;Audi Sport ABT;AUDI;15;9;31;0;0,0,2
1;3;2014 Punta del Este;13/12/2014;Salvador Durán;77;Amlin Aguri;TECHEETAH;16;15;31;0;0,0,0
1;3;2014 Punta del Este;13/12/2014;António Felix da Costa;55;Amlin Aguri;TECHEETAH;99;12;31;1;0,0,0
1;3;2014 Punta del Este;13/12/2014;Matthew Brabham;28;Andretti;BMW_ANDRETTI;99;19;31;1;0,0,0
1;3;2014 Punta del Este;13/12/2014;Sam Bird;3;Virgin Racing;VIRGIN;99;18;31;1;0,0,0
1;3;2014 Punta del Este;13/12/2014;Stephane Sarrazin;30;Venturi;VENTURI;99;13;31;1;0,0,0
1;4;2015 Buenos Aires;10/01/2015;António Felix da Costa;55;Amlin Aguri;TECHEETAH;1;8;35;0;25,0,0
1;4;2015 Buenos Aires;10/01/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;2;7;35;0;18,0,0
1;4;2015 Buenos Aires;10/01/2015;Nelson Piquet Jr.;99;China Racing;NIO_NEXTEV;3;9;35;0;15,0,0
1;4;2015 Buenos Aires;10/01/2015;Jaime Alguersuari;3;Virgin Racing;VIRGIN;4;2;35;0;12,0,0
1;4;2015 Buenos Aires;10/01/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;5;19;35;0;10,0,0
1;4;2015 Buenos Aires;10/01/2015;Jean-Éric Vergne;27;Andretti;BMW_ANDRETTI;6;6;35;0;8,0,0
1;4;2015 Buenos Aires;10/01/2015;Sam Bird;2;Virgin Racing;VIRGIN;7;4;35;0;6,0,2
1;4;2015 Buenos Aires;10/01/2015;Nick Heidfeld;23;Venturi;VENTURI;8;3;35;0;4,0,0
1;4;2015 Buenos Aires;10/01/2015;Oriol Servià;6;Dragon Racing;DRAGON;9;13;35;0;2,0,0
1;4;2015 Buenos Aires;10/01/2015;Stephane Sarrazin;30;Venturi;VENTURI;10;11;35;0;1,0,0
1;4;2015 Buenos Aires;10/01/2015;Ho-Pin Tung;88;China Racing;NIO_NEXTEV;11;15;35;0;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Marco Andretti;28;Andretti;BMW_ANDRETTI;12;14;35;0;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Daniel Abt;66;Audi Sport ABT;AUDI;13;12;35;0;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;14;26;35;0;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Jarno Trulli;10;Trulli;TRULLI;99;20;35;1;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;99;10;35;1;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;99;5;35;1;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Michela Cerruti;18;Trulli;TRULLI;99;17;35;1;0,0,0
1;4;2015 Buenos Aires;10/01/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;99;1;35;1;0,3,0
1;4;2015 Buenos Aires;10/01/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;99;16;35;0;0,0,0
1;5;2015 Miami;14/03/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;1;2;39;0;25,0,0
1;5;2015 Miami;14/03/2015;Scott Speed;28;Andretti;BMW_ANDRETTI;2;10;39;0;18,0,0
1;5;2015 Miami;14/03/2015;Daniel Abt;66;Audi Sport ABT;AUDI;3;4;39;0;15,0,0
1;5;2015 Miami;14/03/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;4;8;39;0;12,0,0
1;5;2015 Miami;14/03/2015;Nelson Piquet Jr.;99;China Racing;NIO_NEXTEV;5;7;39;0;10,0,2
1;5;2015 Miami;14/03/2015;António Felix da Costa;55;Amlin Aguri;TECHEETAH;6;16;39;0;8,0,0
1;5;2015 Miami;14/03/2015;Loïc Duval;6;Dragon Racing;DRAGON;7;18;39;0;6,0,0
1;5;2015 Miami;14/03/2015;Sam Bird;2;Virgin Racing;VIRGIN;8;3;39;0;4,0,0
1;5;2015 Miami;14/03/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;9;6;39;0;2,0,0
1;5;2015 Miami;14/03/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;10;12;39;0;1,0,0
1;5;2015 Miami;14/03/2015;Jaime Alguersuari;3;Virgin Racing;VIRGIN;11;9;39;0;0,0,0
1;5;2015 Miami;14/03/2015;Nick Heidfeld;23;Venturi;VENTURI;12;19;39;0;0,0,0
1;5;2015 Miami;14/03/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;13;13;39;0;0,0,0
1;5;2015 Miami;14/03/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;14;20;39;0;0,0,0
1;5;2015 Miami;14/03/2015;Jarno Trulli;10;Trulli;TRULLI;15;14;39;0;0,0,0
1;5;2015 Miami;14/03/2015;Vitantonio Liuzzi;18;Trulli;TRULLI;16;11;39;0;0,0,0
1;5;2015 Miami;14/03/2015;Charles Pic;88;China Racing;NIO_NEXTEV;17;17;39;0;0,0,0
1;5;2015 Miami;14/03/2015;Jean-Éric Vergne;27;Andretti;BMW_ANDRETTI;18;1;39;0;0,3,0
1;5;2015 Miami;14/03/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;99;15;39;1;0,0,0
1;5;2015 Miami;14/03/2015;Stephane Sarrazin;30;Venturi;VENTURI;99;5;39;1;0,0,0
1;6;2015 Long Beach;04/04/2015;Nelson Piquet Jr.;99;China Racing;NIO_NEXTEV;1;3;39;0;25,0,0
1;6;2015 Long Beach;04/04/2015;Jean-Éric Vergne;27;Andretti;BMW_ANDRETTI;2;5;39;0;18,0,0
1;6;2015 Long Beach;04/04/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;3;4;39;0;15,0,0
1;6;2015 Long Beach;04/04/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;4;10;39;0;12,0,0
1;6;2015 Long Beach;04/04/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;5;12;39;0;10,0,0
1;6;2015 Long Beach;04/04/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;6;8;39;0;8,0,0
1;6;2015 Long Beach;04/04/2015;António Felix da Costa;55;Amlin Aguri;TECHEETAH;7;7;39;0;6,0,0
1;6;2015 Long Beach;04/04/2015;Jaime Alguersuari;3;Virgin Racing;VIRGIN;8;14;39;0;4,0,0
1;6;2015 Long Beach;04/04/2015;Loïc Duval;6;Dragon Racing;DRAGON;9;17;39;0;2,0,0
1;6;2015 Long Beach;04/04/2015;Stephane Sarrazin;30;Venturi;VENTURI;10;9;39;0;1,0,0
1;6;2015 Long Beach;04/04/2015;Nick Heidfeld;23;Venturi;VENTURI;11;15;39;0;0,0,0
1;6;2015 Long Beach;04/04/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;12;18;39;0;0,0,0
1;6;2015 Long Beach;04/04/2015;Vitantonio Liuzzi;18;Trulli;TRULLI;13;20;39;0;0,0,0
1;6;2015 Long Beach;04/04/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;14;2;39;0;0,0,2
1;6;2015 Long Beach;04/04/2015;Daniel Abt;66;Audi Sport ABT;AUDI;15;1;39;0;0,3,0
1;6;2015 Long Beach;04/04/2015;Charles Pic;88;China Racing;NIO_NEXTEV;16;16;39;0;0,0,0
1;6;2015 Long Beach;04/04/2015;Jarno Trulli;10;Trulli;TRULLI;99;13;39;1;0,0,0
1;6;2015 Long Beach;04/04/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;99;19;39;1;0,0,0
1;6;2015 Long Beach;04/04/2015;Sam Bird;2;Virgin Racing;VIRGIN;99;11;39;1;0,0,0
1;6;2015 Long Beach;04/04/2015;Scott Speed;28;Andretti;BMW_ANDRETTI;99;6;39;1;0,0,0
1;7;2015 Monaco;09/05/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;1;1;47;0;25,3,0
1;7;2015 Monaco;09/05/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;2;2;47;0;18,0,0
1;7;2015 Monaco;09/05/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO_NEXTEV;3;4;47;0;15,0,0
1;7;2015 Monaco;09/05/2015;Sam Bird;2;Virgin Racing;VIRGIN;4;12;47;0;12,0,0
1;7;2015 Monaco;09/05/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;5;3;47;0;10,0,0
1;7;2015 Monaco;09/05/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;6;7;47;0;8,0,0
1;7;2015 Monaco;09/05/2015;Stephane Sarrazin;30;Venturi;VENTURI;7;10;47;0;6,0,0
1;7;2015 Monaco;09/05/2015;Charles Pic;88;NEXTEV TCR;NIO_NEXTEV;8;18;47;0;4,0,0
1;7;2015 Monaco;09/05/2015;António Felix da Costa;55;Amlin Aguri;TECHEETAH;9;20;47;0;2,0,0
1;7;2015 Monaco;09/05/2015;Nick Heidfeld;23;Venturi;VENTURI;10;17;47;0;1,0,0
1;7;2015 Monaco;09/05/2015;Jarno Trulli;10;Trulli;TRULLI;11;14;47;0;0,0,0
1;7;2015 Monaco;09/05/2015;Scott Speed;28;Andretti;BMW_ANDRETTI;12;15;47;0;0,0,0
1;7;2015 Monaco;09/05/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;13;19;47;0;0,0,0
1;7;2015 Monaco;09/05/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;99;9;47;1;0,0,0
1;7;2015 Monaco;09/05/2015;Daniel Abt;66;Audi Sport ABT;AUDI;99;6;47;1;0,0,0
1;7;2015 Monaco;09/05/2015;Jaime Alguersuari;3;Virgin Racing;VIRGIN;99;8;47;1;0,0,0
1;7;2015 Monaco;09/05/2015;Jean-Éric Vergne;27;Andretti;BMW_ANDRETTI;99;13;47;1;0,0,2
1;7;2015 Monaco;09/05/2015;Loïc Duval;6;Dragon Racing;DRAGON;99;5;47;1;0,0,0
1;7;2015 Monaco;09/05/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;99;11;47;1;0,0,0
1;7;2015 Monaco;09/05/2015;Vitantonio Liuzzi;18;Trulli;TRULLI;99;16;47;1;0,0,0
1;8;2015 Berlin;23/05/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;1;6;33;0;25,0,0
1;8;2015 Berlin;23/05/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;2;3;33;0;18,0,0
1;8;2015 Berlin;23/05/2015;Loïc Duval;6;Dragon Racing;DRAGON;3;8;33;0;15,0,0
1;8;2015 Berlin;23/05/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO_NEXTEV;4;13;33;0;12,0,2
1;8;2015 Berlin;23/05/2015;Nick Heidfeld;23;Venturi;VENTURI;5;4;33;0;10,0,0
1;8;2015 Berlin;23/05/2015;Stephane Sarrazin;30;Venturi;VENTURI;6;9;33;0;8,0,0
1;8;2015 Berlin;23/05/2015;Jean-Éric Vergne;27;Andretti;BMW_ANDRETTI;7;10;33;0;6,0,0
1;8;2015 Berlin;23/05/2015;Sam Bird;2;Virgin Racing;VIRGIN;8;15;33;0;4,0,0
1;8;2015 Berlin;23/05/2015;Vitantonio Liuzzi;18;Trulli;TRULLI;9;11;33;0;2,0,0
1;8;2015 Berlin;23/05/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;10;7;33;0;1,0,0
1;8;2015 Berlin;23/05/2015;António Felix da Costa;55;Amlin Aguri;TECHEETAH;11;19;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Jaime Alguersuari;3;Virgin Racing;VIRGIN;12;14;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Scott Speed;28;Andretti;BMW_ANDRETTI;13;12;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Daniel Abt;66;Audi Sport ABT;AUDI;14;5;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Charles Pic;88;NEXTEV TCR;NIO_NEXTEV;15;17;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;16;16;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;17;18;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;18;20;33;0;0,0,0
1;8;2015 Berlin;23/05/2015;Jarno Trulli;10;Trulli;TRULLI;19;1;33;0;0,3,0
1;8;2015 Berlin;23/05/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;99;2;33;1;0,0,0
1;9;2015 Moscow;06/06/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO_NEXTEV;1;2;35;0;25,0,0
1;9;2015 Moscow;06/06/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;2;3;35;0;18,0,0
1;9;2015 Moscow;06/06/2015;Nick Heidfeld;23;Venturi GP;VENTURI;3;8;35;0;15,0,0
1;9;2015 Moscow;06/06/2015;Jean-Éric Vergne;27;Andretti;BMW_ANDRETTI;4;1;35;0;12,3,0
1;9;2015 Moscow;06/06/2015;Daniel Abt;66;Audi Sport ABT;AUDI;5;7;35;0;10,0,0
1;9;2015 Moscow;06/06/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;6;10;35;0;8,0,0
1;9;2015 Moscow;06/06/2015;António Felix da Costa;55;Amlin Aguri;TECHEETAH;7;14;35;0;6,0,0
1;9;2015 Moscow;06/06/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;8;6;35;0;4,0,0
1;9;2015 Moscow;06/06/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;9;4;35;0;2,0,2
1;9;2015 Moscow;06/06/2015;Justin Wilson;28;Andretti Autosport;BMW_ANDRETTI;10;12;35;0;1,0,0
1;9;2015 Moscow;06/06/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;11;5;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;12;16;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Jaime Alguersuari;3;Virgin Racing;VIRGIN;13;17;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Stephane Sarrazin;30;Venturi GP;VENTURI;14;20;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Loïc Duval;6;Dragon Racing;DRAGON;15;18;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;16;15;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Vitantonio Liuzzi;18;Trulli GP;TRULLI;17;19;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Jarno Trulli;10;Trulli GP;TRULLI;18;9;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Antonio Garcia;88;NEXTEV TCR;NIO_NEXTEV;19;13;35;0;0,0,0
1;9;2015 Moscow;06/06/2015;Sam Bird;2;Virgin Racing;VIRGIN;99;11;35;1;0,0,0
1;10;2015 London;27/06/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;1;1;29;0;25,3,0
1;10;2015 London;27/06/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;2;2;29;0;18,0,0
1;10;2015 London;27/06/2015;Jean-Éric Vergne;27;Andretti Autosport;BMW_ANDRETTI;3;5;29;0;15,0,0
1;10;2015 London;27/06/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;4;3;29;0;12,0,2
1;10;2015 London;27/06/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO_NEXTEV;5;4;29;0;10,0,0
1;10;2015 London;27/06/2015;Sam Bird;2;Virgin Racing;VIRGIN;6;9;29;0;8,0,0
1;10;2015 London;27/06/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;7;6;29;0;6,0,0
1;10;2015 London;27/06/2015;Loïc Duval;6;Dragon Racing;DRAGON;8;11;29;0;4,0,0
1;10;2015 London;27/06/2015;Oliver Turvey;88;NEXTEV TCR;NIO_NEXTEV;9;7;29;0;2,0,0
1;10;2015 London;27/06/2015;Stephane Sarrazin;30;Venturi Grand Prix;VENTURI;10;14;29;0;1,0,0
1;10;2015 London;27/06/2015;Simona de Silvestro;28;Andretti Autosport;BMW_ANDRETTI;11;17;29;0;0,0,0
1;10;2015 London;27/06/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;12;16;29;0;0,0,0
1;10;2015 London;27/06/2015;Nick Heidfeld;23;Venturi Grand Prix;VENTURI;13;12;29;0;0,0,0
1;10;2015 London;27/06/2015;Fabio Leimer;3;Virgin Racing;VIRGIN;14;20;29;0;0,0,0
1;10;2015 London;27/06/2015;Jarno Trulli;10;Trulli GP;TRULLI;15;15;29;0;0,0,0
1;10;2015 London;27/06/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;16;8;29;0;0,0,0
1;10;2015 London;27/06/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;17;10;29;0;0,0,0
1;10;2015 London;27/06/2015;Alex Fontana;18;Trulli GP;TRULLI;99;19;29;1;0,0,0
1;10;2015 London;27/06/2015;Daniel Abt;66;Audi Sport ABT;AUDI;99;13;29;1;0,0,0
1;10;2015 London;27/06/2015;Sakon Yamamoto;55;Amlin Aguri;TECHEETAH;99;18;29;1;0,0,0
1;11;2015 London race 2;28/06/2015;Sam Bird;2;Virgin Racing;VIRGIN;1;4;29;0;25,0,2
1;11;2015 London race 2;28/06/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;2;2;29;0;18,0,0
1;11;2015 London race 2;28/06/2015;Loïc Duval;6;Dragon Racing;DRAGON;3;3;29;0;15,0,0
1;11;2015 London race 2;28/06/2015;Bruno Senna;21;Mahindra Racing;MAHINDRA;4;5;29;0;12,0,0
1;11;2015 London race 2;28/06/2015;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;5;6;29;0;10,0,0
1;11;2015 London race 2;28/06/2015;Lucas di Grassi;11;Audi Sport ABT;AUDI;6;11;29;0;8,0,0
1;11;2015 London race 2;28/06/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO_NEXTEV;7;16;29;0;6,0,0
1;11;2015 London race 2;28/06/2015;Salvador Durán;77;Amlin Aguri;TECHEETAH;8;8;29;0;4,0,0
1;11;2015 London race 2;28/06/2015;Oliver Turvey;88;NEXTEV TCR;NIO_NEXTEV;9;12;29;0;2,0,0
1;11;2015 London race 2;28/06/2015;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;10;15;29;0;1,0,0
1;11;2015 London race 2;28/06/2015;Daniel Abt;66;Audi Sport ABT;AUDI;11;18;29;0;0,0,0
1;11;2015 London race 2;28/06/2015;Simona de Silvestro;28;Andretti Autosport;BMW_ANDRETTI;12;13;29;0;0,0,0
1;11;2015 London race 2;28/06/2015;Karun Chandhok;5;Mahindra Racing;MAHINDRA;13;19;29;0;0,0,0
1;11;2015 London race 2;28/06/2015;Alex Fontana;18;Trulli GP;TRULLI;14;9;29;0;0,0,0
1;11;2015 London race 2;28/06/2015;Stephane Sarrazin;30;Venturi Grand Prix;VENTURI;15;1;29;0;0,3,0
1;11;2015 London race 2;28/06/2015;Jean-Éric Vergne;27;Andretti Autosport;BMW_ANDRETTI;16;14;29;0;0,0,0
1;11;2015 London race 2;28/06/2015;Fabio Leimer;3;Virgin Racing;VIRGIN;99;17;29;1;0,0,0
1;11;2015 London race 2;28/06/2015;Jarno Trulli;10;Trulli GP;TRULLI;99;10;29;1;0,0,0
1;11;2015 London race 2;28/06/2015;Nick Heidfeld;23;Venturi Grand Prix;VENTURI;99;7;29;1;0,0,0
1;11;2015 London race 2;28/06/2015;Sakon Yamamoto;55;Amlin Aguri;TECHEETAH;99;20;29;1;0,0,0
2;1;2015 Beijing;24/10/2015;Sebastien Buemi;9;Renault e.Dams;NISSAN_RENAULT;1;1;26;0;25,3,2
2;1;2015 Beijing;24/10/2015;Lucas di Grassi;11;ABT Schaeffler Audi Sport;AUDI;2;4;26;0;18,0,0
2;1;2015 Beijing;24/10/2015;Nick Heidfeld;23;Mahindra Racing;MAHINDRA;3;3;26;0;15,0,0
2;1;2015 Beijing;24/10/2015;Loïc Duval;6;Dragon Racing;DRAGON;4;8;26;0;12,0,0
2;1;2015 Beijing;24/10/2015;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;5;10;26;0;10,0,0
2;1;2015 Beijing;24/10/2015;Oliver Turvey;88;NEXTEV TCR;NIO_NEXTEV;6;15;26;0;8,0,0
2;1;2015 Beijing;24/10/2015;Sam Bird;2;DS Virgin Racing;VIRGIN;7;9;26;0;6,0,0
2;1;2015 Beijing;24/10/2015;Nathanaël Berthon;77;Team Aguri;TECHEETAH;8;17;26;0;4,0,0
